-0.35087719298245500,41933.7475982108,4.62256367682031
9.824561403508770,41647.3076778588,4.61958693135043
19.824561403508800,41367.8906431773,4.61666337669963
30,41085.675412233,4.61369043078621
40,41923.8345600253,4.6224609985009
50.00000000000000,45160.9046045708,4.65476263256291
60.00000000000000,57418.2454407782,4.75904991740064
70.17543859649120,343848.415874622,5.53636702786811
80,639199.069071605,5.80563613380068
90.17543859649120,1062952.09858089,6.02651369369476
100.17543859649100,1450555.24466472,6.16153427363931
110.17543859649100,1601735.9038887,6.20459091066278
120.17543859649100,1587319.19985101,6.20066426941049